Unnamed: 0,Spectrum,Emission Line,Line Center (Å),Flux,Flux Error,SNR,EW,EW Error,FWHM (Å),FWHM (km/s),Wing Window,Min λ,Max λ,Reduced χ²,Spectral Index,Error Spectral Index,Amplitude,Error Amplitude
,3c273 123dcdr2dswp41629mxlo.txt,LYMAN ALPHA,1215.0,4.928e-12,8.292e-13,5.94,30.43,5.12,14.72,3631.4,17.0,1206.5,1223.5,0.34,,,,
,3c273 126dcdr2dswp41704mxlo.txt,LYMAN ALPHA,1214.0,4.525e-12,8.441e-13,5.36,23.44,4.37,13.54,3343.7,13.0,1207.5,1220.5,1.07,,,,
,3c273 126dcdr2dswp41704mxlo.txt,LYMAN ALPHA,1214.0,4.739e-12,8.847e-13,5.36,25.92,4.84,13.54,3343.7,15.0,1206.5,1221.5,0.94,,,,
,3c273 127dcdr2dswp41851mxlo.txt,LYMAN ALPHA,1216.25,4.612e-12,8.199e-13,5.63,23.31,4.14,12.95,3192.4,13.0,1209.75,1222.75,0.85,,,,
,3c273 127dcdr2dswp41851mxlo.txt,LYMAN ALPHA,1216.25,4.792e-12,8.607e-13,5.57,25.58,4.59,12.95,3192.4,15.0,1208.75,1223.75,0.74,,,,
,3c273 129dcdr2dswp43342mxlo.txt,LYMAN ALPHA,1212.5,5.708e-12,6.111e-13,9.34,35.4,3.79,14.13,3493.4,16.0,1204.5,1220.5,1.94,,,,
,3c273 130dcdr2dswp43343mxlo.txt,LYMAN ALPHA,1212.25,5.348e-12,6.189e-13,8.64,37.45,4.33,14.13,3494.1,17.0,1203.75,1220.75,1.12,,,,
,3c273 131dcdr2dswp43424mxlo.txt,LYMAN ALPHA,1214.5,4.647e-12,5.947e-13,7.81,34.39,4.4,14.13,3487.6,15.0,1207.0,1222.0,0.28,,,,
,3c273 132dcdr2dswp43425mxlo.txt,LYMAN ALPHA,1215.0,4.676e-12,6.4e-13,7.31,35.8,4.9,15.89,3922.0,17.0,1206.5,1223.5,0.3,,,,
,3c273 133dcdr2dswp43550mxlo.txt,LYMAN ALPHA,1215.75,3.649e-12,4.369e-13,8.35,36.0,4.31,14.13,3484.0,15.0,1208.25,1223.25,0.41,,,,
,3c273 134dcdr2dswp43551mxlo.txt,LYMAN ALPHA,1215.5,5.151e-12,5.947e-13,8.66,31.4,3.63,11.77,2904.0,13.0,1209.0,1222.0,1.32,,,,
,3c273 134dcdr2dswp43551mxlo.txt,LYMAN ALPHA,1215.5,5.393e-12,6.234e-13,8.65,34.44,3.98,11.77,2904.0,15.0,1208.0,1223.0,1.19,,,,
,3c273 135dcdr2dswp43677mxlo.txt,LYMAN ALPHA,1213.25,4.451e-12,6.648e-13,6.7,31.72,4.74,14.72,3636.7,15.0,1205.75,1220.75,0.31,,,,
,3c273 136dcdr2dswp43908mxlo.txt,LYMAN ALPHA,1212.25,4.681e-12,7.401e-13,6.33,32.37,5.12,13.54,3348.5,17.0,1203.75,1220.75,0.29,,,,
,3c273 137dcdr2dswp43909mxlo.txt,LYMAN ALPHA,1212.5,4.662e-12,7.353e-13,6.34,30.66,4.84,13.54,3347.8,15.0,1205.0,1220.0,0.25,,,,
,3c273 138dcdr2dswp43994mxlo.txt,LYMAN ALPHA,1214.0,4.524e-12,7.06e-13,6.41,30.71,4.79,14.13,3489.1,15.0,1206.5,1221.5,0.28,,,,
,3c273 151dcdr2dswp46515mxlo.txt,LYMAN ALPHA,1214.0,4.753e-12,8.682e-13,5.47,28.32,5.17,17.07,4215.9,16.0,1206.0,1222.0,0.91,,,,
,3c273 152dcdr2dswp46516mxlo.txt,LYMAN ALPHA,1214.75,4.847e-12,8.307e-13,5.83,30.26,5.19,16.48,4068.0,16.0,1206.75,1222.75,0.36,,,,
,3c273 153dcdr2dswp46607mxlo.txt,LYMAN ALPHA,1213.0,5.208e-12,8.784e-13,5.93,33.44,5.64,17.66,4364.9,18.0,1204.0,1222.0,0.29,,,,
,3c273 154dcdr2dswp46608mxlo.txt,LYMAN ALPHA,1215.0,5.534e-12,7.924e-13,6.98,35.13,5.03,12.36,3050.4,17.0,1206.5,1223.5,0.3,,,,
,3c273 156dcdr2dswp46647mxlo.txt,LYMAN ALPHA,1214.15,1.958e-12,3.231e-13,6.06,32.21,5.32,14.13,3488.6,15.0,1206.65,1221.65,0.06,,,,
,3c273 157dcdr2dswp46650mxlo.txt,LYMAN ALPHA,1213.0,3.673e-12,4.872e-13,7.54,30.42,4.04,15.31,3782.9,15.0,1205.5,1220.5,2.0,,,,
,3c273 158dcdr2dswp46654mxlo.txt,LYMAN ALPHA,1214.0,4.873e-12,7.694e-13,6.33,31.63,4.99,15.31,3779.8,16.0,1206.0,1222.0,0.41,,,,
,3c273 159dcdr2dswp46658mxlo.txt,LYMAN ALPHA,1213.0,5.462e-12,7.608e-13,7.18,29.76,4.15,15.31,3782.9,15.0,1205.5,1220.5,1.4,,,,
,3c273 160dcdr2dswp46663mxlo.txt,LYMAN ALPHA,1215.0,5.485e-12,8.495e-13,6.46,31.67,4.9,14.13,3486.2,17.0,1206.5,1223.5,0.92,,,,
,3c273 161dcdr2dswp46692mxlo.txt,LYMAN ALPHA,1212.15,4.97e-12,7.919e-13,6.28,33.81,5.39,14.13,3494.4,17.0,1203.65,1220.65,0.3,,,,
,3c273 162dcdr2dswp46739mxlo.txt,LYMAN ALPHA,1212.5,4.106e-12,6.515e-13,6.3,32.24,5.12,14.13,3493.4,15.0,1205.0,1220.0,0.1,,,,
,3c273 163dcdr2dswp46863mxlo.txt,LYMAN ALPHA,1216.5,5.588e-12,7.519e-13,7.43,37.24,5.01,11.77,2901.6,17.0,1208.0,1225.0,0.69,,,,
,3c273 164dcdr2dswp46864mxlo.txt,LYMAN ALPHA,1215.0,5.841e-12,7.92e-13,7.38,34.57,4.69,15.31,3776.7,17.0,1206.5,1223.5,1.0,,,,
,3c273 165dcdr2dswp46926mxlo.txt,LYMAN ALPHA,1213.25,6.467e-12,8.221e-13,7.87,40.31,5.12,20.02,4945.9,19.0,1203.75,1222.75,0.87,,,,
,3c273 166dcdr2dswp46927mxlo.txt,LYMAN ALPHA,1214.25,5.017e-12,7.467e-13,6.72,32.64,4.86,11.77,2906.9,15.0,1206.75,1221.75,0.97,,,,
,3c273 167dcdr2dswp47654mxlo.txt,LYMAN ALPHA,1214.25,6.103e-12,8.58e-13,7.11,40.44,5.68,17.66,4360.4,21.0,1203.75,1224.75,0.29,,,,
,3c273 168dcdr2dswp47655mxlo.txt,LYMAN ALPHA,1212.5,5.837e-12,7.882e-13,7.4,35.08,4.74,15.31,3784.5,16.0,1204.5,1220.5,0.31,,,,
,3c273 169dcdr2dswp47744mxlo.txt,LYMAN ALPHA,1213.0,5.671e-12,7.145e-13,7.94,35.8,4.51,14.72,3637.4,15.0,1205.5,1220.5,0.31,,,,
,3c273 170dcdr2dswp47745mxlo.txt,LYMAN ALPHA,1212.0,5.645e-12,7.79e-13,7.25,34.77,4.8,17.66,4368.5,17.0,1203.5,1220.5,0.7,,,,
,3c273 171dcdr2dswp49596mxlo.txt,LYMAN ALPHA,1215.5,4.791e-12,7.613e-13,6.29,32.14,5.11,14.13,3484.7,15.0,1208.0,1223.0,0.85,,,,
,3c273 172dcdr2dswp49597mxlo.txt,LYMAN ALPHA,1213.75,5.642e-12,8.113e-13,6.95,36.62,5.27,17.07,4216.8,17.0,1205.25,1222.25,0.26,,,,
